"License Number","License Type","Legal Business Name","Type of License","Date","Expires On","Status","City - County",
"TML18-0004548","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","06/05/2018","10/03/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004539","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","06/05/2018","10/03/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004535","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","06/05/2018","10/03/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004521","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","06/05/2018","10/03/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004489","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/05/2018","10/03/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004488","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/05/2018","10/03/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004428","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/05/2018","10/03/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004376","Temporary Cannabis Cultivation License","Louis Armstrong & Associates, LLC","Small Mixed-Light Tier 2","06/05/2018","04/02/2019","Active","Carpinteria - Santa Barbara County",
"TML18-0004433","Temporary Cannabis Cultivation License","uv organics","Specialty Mixed-Light Tier 1","06/05/2018","04/02/2019","Active","Unincorporated - Mendocino County",
"TML18-0004316","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/05/2018","10/03/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004307","Temporary Cannabis Cultivation License","Cool Ridge Inc.","Small Mixed-Light Tier 1","06/05/2018","04/02/2019","Active","Unincorporated - Mendocino County",
"TAL18-0004291","Temporary Cannabis Cultivation License","TIVL, Inc.","Specialty Indoor","06/05/2018","04/02/2019","Active","Sacramento - Sacramento County",
"TML18-0004282","Temporary Cannabis Cultivation License","Black Pepper Nation LLC","Specialty Indoor","06/05/2018","10/03/2018","Inactive","San Francisco - San Francisco County",
"TAL18-0004278","Temporary Cannabis Cultivation License","FOMO FARMS","Nursery","06/05/2018","10/03/2018","Inactive","Unincorporated - Mendocino County",
"TAL18-0004274","Temporary Cannabis Cultivation License","Jump Start Nursery, Inc.","Small Indoor","06/05/2018","04/02/2019","Active","Unincorporated - Monterey County",
"TAL18-0004273","Temporary Cannabis Cultivation License","Jump Start Nursery, Inc.","Nursery","06/05/2018","04/02/2019","Active","Unincorporated - Monterey County",
"TAL18-0004267","Temporary Cannabis Cultivation License","Long & Co","Small Mixed-Light Tier 2","06/05/2018","10/03/2018","Inactive","Unincorporated - Trinity County",
"TAL18-0004261","Temporary Cannabis Cultivation License","NCM Corp.","Specialty Indoor","06/05/2018","04/02/2019","Active","Santa Rosa - Sonoma County",
"TAL18-0004260","Temporary Cannabis Cultivation License","Char C, LLC","Small Outdoor","06/05/2018","04/02/2019","Active","Unincorporated - Mendocino County",
"TAL18-0004255","Temporary Cannabis Cultivation License","Michael Gordon","Small Mixed-Light Tier 1","06/05/2018","04/03/2019","Active","Unincorporated - Mendocino County",
"TML18-0004173","Temporary Cannabis Cultivation License","California 162","Small Mixed-Light Tier 1","06/05/2018","07/01/2019","Active","Unincorporated - Mendocino County",
"TAL18-0004131","Temporary Cannabis Cultivation License","Bald Mountain Legacy, LLC","Small Outdoor","06/05/2018","04/02/2019","Active","Unincorporated - Mendocino County",
"TAL18-0004086","Temporary Cannabis Cultivation License","Boggio Mangement Group, Inc.","Nursery","06/05/2018","10/03/2018","Inactive","Unincorporated - Mendocino County",
"TML18-0004804","Temporary Cannabis Cultivation License","Sugar Leaf Extracts Inc","Medium Indoor","06/04/2018","06/07/2018","Inactive","Unincorporated - Calaveras County",
"TML18-0004385","Temporary Cannabis Cultivation License","Militia Pharms","Medium Indoor","06/04/2018","06/07/2018","Inactive","Unincorporated - Calaveras County",
"TAL18-0004796","Temporary Cannabis Cultivation License","Soul Arc Solutions, Inc.","Small Mixed-Light Tier 1","06/02/2018","03/30/2019","Active","Unincorporated - Humboldt County",
"TML18-0004731","Temporary Cannabis Cultivation License","8 Mile Family Farms","Small Outdoor","06/02/2018","03/30/2019","Active","Unincorporated - Humboldt County",
"TML18-0004790","Temporary Cannabis Cultivation License","Mas Mota, LLC","Specialty Mixed-Light Tier 1","06/02/2018","09/30/2018","Inactive","Unincorporated - Humboldt County",
"TML18-0004727","Temporary Cannabis Cultivation License","8 Mile Family Farms","Specialty Outdoor","06/02/2018","03/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0004708","Temporary Cannabis Cultivation License","Sunrise Mountain Farms","Small Outdoor","06/02/2018","03/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0004706","Temporary Cannabis Cultivation License","Sunrise Mountain Farms","Specialty Cottage Mixed-Light Tier 1","06/02/2018","03/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0004608","Temporary Cannabis Cultivation License","Higher Ground Agriculture, LLC","Specialty Mixed-Light Tier 1","06/02/2018","03/30/2019","Active","Humboldt County",
"TAL18-0004424","Temporary Cannabis Cultivation License","Skylar Giordano, sole proprietor","Specialty Outdoor","06/02/2018","03/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0004415","Temporary Cannabis Cultivation License","Skylar Giordano, sole proprietor","Small Outdoor","06/02/2018","09/30/2018","Inactive","Unincorporated - Humboldt County",
"TML18-0004377","Temporary Cannabis Cultivation License","Gravel Spur Farm, LLC","Small Mixed-Light Tier 1","06/02/2018","03/30/2019","Active","Unincorporated - Humboldt County",
"TML18-0004511","Temporary Cannabis Cultivation License","Mr. Nice Guy, LLC","Medium Outdoor","06/01/2018","06/13/2018","Inactive","Santa Maria - Santa Barbara County",
"TML18-0004508","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004507","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004506","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004502","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004501","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004487","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004486","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004485","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004481","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004480","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004479","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004467","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004465","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004445","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004443","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004437","Temporary Cannabis Cultivation License","Mr. Nice Guy, LLC","Small Outdoor","06/01/2018","03/29/2019","Active","Santa Maria - Santa Barbara County",
"TML18-0004422","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004420","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004417","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004414","Temporary Cannabis Cultivation License","Hodaya","Small Outdoor","06/01/2018","09/29/2018","Inactive","Willits - Mendocino County",
"TML18-0004411","Temporary Cannabis Cultivation License","Ecoyard, Inc.","Medium Outdoor","06/01/2018","03/29/2019","Active","Unincorporated - Humboldt County",
"TML18-0004403","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","06/01/2018","09/29/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004399","Temporary Cannabis Cultivation License","Elliott Masai Alliance, Inc","Small Outdoor","06/01/2018","03/29/2019","Active","Hopland - Mendocino County",
"TML18-0004398","Temporary Cannabis Cultivation License","Wild Falcon Top LLC","Small Mixed-Light Tier 1","06/01/2018","03/29/2019","Active","Unincorporated - Mendocino County",
"TML18-0004393","Temporary Cannabis Cultivation License","Ridge Top Rukus, Inc.","Specialty Cottage Indoor","06/01/2018","03/29/2019","Active","Unincorporated - Mendocino County",
"TML18-0004388","Temporary Cannabis Cultivation License","Humboldt Redwood Healing","Small Mixed-Light Tier 1","06/01/2018","03/29/2019","Active","Humboldt County",
"TAL18-0004324","Temporary Cannabis Cultivation License","Nowhere Else Farms, LLC","Small Mixed-Light Tier 1","06/01/2018","03/29/2019","Active","Unincorporated - Mendocino County",
"TAL18-0004322","Temporary Cannabis Cultivation License","HARRIS RESOURCES INC","Specialty Outdoor","06/01/2018","12/29/2018","Inactive","Unincorporated - Humboldt County",
"TAL18-0004310","Temporary Cannabis Cultivation License","Stocker & Stocker","Small Outdoor","06/01/2018","03/29/2019","Active","Ukiah - Mendocino County",
"TML18-0004294","Temporary Cannabis Cultivation License","Joshua O. Pope, Inc","Small Mixed-Light Tier 1","06/01/2018","03/29/2019","Active","Unincorporated - Mendocino County",
"TML18-0004259","Temporary Cannabis Cultivation License","Harry Angus","Specialty Outdoor","06/01/2018","09/29/2018","Inactive","Willits - Mendocino County",
"TAL18-0004254","Temporary Cannabis Cultivation License","Syracuse Goldenghost","Nursery","06/01/2018","03/29/2019","Active","Willits - Mendocino County",
"TAL18-0004253","Temporary Cannabis Cultivation License","Syracuse Goldenghost","Small Mixed-Light Tier 1","06/01/2018","03/29/2019","Active","Willits - Mendocino County",
"TML18-0004239","Temporary Cannabis Cultivation License","CannaCruz, LLC","Small Indoor","06/01/2018","09/29/2018","Inactive","Salinas - Monterey County",
"TML18-0004238","Temporary Cannabis Cultivation License","Top Shelf Farms LLC","Small Indoor","06/01/2018","09/29/2018","Inactive","Sacramento - Sacramento County",
"TAL18-0004224","Temporary Cannabis Cultivation License","Reading Creek Ranch","Small Outdoor","06/01/2018","09/29/2018","Inactive","Hughson - Trinity County",
"TAL18-0004223","Temporary Cannabis Cultivation License","Bay Area Elite Farmers","Medium Indoor","06/01/2018","06/01/2018","Inactive","Oakland - Alameda County",
"TML18-0004222","Temporary Cannabis Cultivation License","YTS Farms LLC","Small Outdoor","06/01/2018","03/29/2019","Active","Woodland - Yolo County",
"TML18-0004221","Temporary Cannabis Cultivation License","YTS Grow","Specialty Indoor","06/01/2018","06/04/2018","Inactive","Woodland - Yolo County",
"TML18-0004219","Temporary Cannabis Cultivation License","Hodaya","Small Outdoor","06/01/2018","09/29/2018","Inactive","Willits - Mendocino County",
"TAL18-0004217","Temporary Cannabis Cultivation License","Jesse Fox","Specialty Mixed-Light Tier 1","06/01/2018","03/29/2019","Active","Unincorporated - Mendocino County",
"TML18-0004209","Temporary Cannabis Cultivation License","Operation A LLC","Small Mixed-Light Tier 1","06/01/2018","09/29/2018","Inactive","Woodland - Trinity County",
"TML18-0004498","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004499","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004500","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004504","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004510","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004497","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004496","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004495","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004483","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004482","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004475","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004474","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004476","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004477","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004484","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004473","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004471","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004470","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004468","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004466","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004464","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004463","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004462","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004461","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004460","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004459","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004458","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004457","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004456","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004454","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004453","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004452","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004451","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004450","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004400","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TAL18-0004304","Temporary Cannabis Cultivation License","ANCIENT TRUTH, INC","Small Outdoor","05/30/2018","03/27/2019","Active","Fortuna - Humboldt County",
"TML18-0004449","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004448","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004447","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Active","Buellton - Santa Barbara County",
"TML18-0004446","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","03/27/2019","Inactive","Buellton - Santa Barbara County",
"TML18-0004444","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004442","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004441","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004426","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004425","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TAL18-0004031","Temporary Cannabis Cultivation License","NTZ, Inc.","Medium Indoor","05/30/2018","03/27/2019","Active","San Jose - Santa Clara County",
"TAL18-0004180","Temporary Cannabis Cultivation License","Bad Bunny Farms","Specialty Cottage Outdoor","05/30/2018","09/27/2018","Inactive","Unincorporated - Mendocino County",
"TML18-0004206","Temporary Cannabis Cultivation License","GGMP Veterans Corporation","Small Indoor","05/30/2018","03/27/2019","Active","Desert Hot Springs - Riverside County",
"TML18-0004375","Temporary Cannabis Cultivation License","Louis Armstrong & Associates, LLC","Small Mixed-Light Tier 2","05/30/2018","03/27/2019","Active","Carpinteria - Santa Barbara County",
"TML18-0004364","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004361","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004360","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004352","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/30/2018","09/27/2018","Inactive","Buellton - Santa Barbara County",
"TAL18-0003797","Temporary Cannabis Cultivation License","Greene Bros., Inc.","Small Outdoor","05/29/2018","03/26/2019","Active","Unincorporated - Mendocino County",
"TML18-0003798","Temporary Cannabis Cultivation License","Greene Bros., Inc.","Specialty Cottage Mixed-Light Tier 2","05/29/2018","03/26/2019","Active","Unincorporated - Mendocino County",
"TML18-0004402","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","05/29/2018","09/26/2018","Inactive","Buellton - Santa Barbara County",
"TAL18-0004396","Temporary Cannabis Cultivation License","Mattole River Organic Farm","Small Outdoor","05/29/2018","03/26/2019","Active","Unincorporated - Humboldt County",
"TML18-0004389","Temporary Cannabis Cultivation License","Humboldt Redwood Healing","Small Outdoor","05/29/2018","03/26/2019","Active","Humboldt County",
"TAL18-0004378","Temporary Cannabis Cultivation License","Bridgecreek LLC","Specialty Mixed-Light Tier 2","05/29/2018","03/26/2019","Active","Unincorporated - Humboldt County",
"TML18-0004372","Temporary Cannabis Cultivation License","Louis Armstrong & Associates, LLC","Medium Mixed-Light Tier 2","05/29/2018","03/26/2019","Active","Carpinteria - Santa Barbara County",
"TML18-0004336","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004333","Temporary Cannabis Cultivation License","SBGL LLC","Specialty Cottage Mixed-Light Tier 2","05/29/2018","09/26/2018","Inactive","Lompoc - Santa Barbara County",
"TML18-0004331","Temporary Cannabis Cultivation License","SBGL LLC","Small Indoor","05/29/2018","09/26/2018","Inactive","Lompoc - Santa Barbara County",
"TML18-0004329","Temporary Cannabis Cultivation License","SBGL LLC","Processor","05/29/2018","09/26/2018","Inactive","Lompoc - Santa Barbara County",
"TML18-0004326","Temporary Cannabis Cultivation License","SONOCOCANN, INC","Small Mixed-Light Tier 1","05/29/2018","09/26/2018","Inactive","Unincorporated - Sonoma County",
"TML18-0004321","Temporary Cannabis Cultivation License","SBGL LLC","Nursery","05/29/2018","09/26/2018","Inactive","Lompoc - Santa Barbara County",
"TML18-0004308","Temporary Cannabis Cultivation License","Toley Farms","Medium Outdoor","05/29/2018","03/26/2019","Active","Petaluma - Sonoma County",
"TAL18-0004397","Temporary Cannabis Cultivation License","South Lake Farms LLC","Small Outdoor","05/29/2018","09/26/2018","Inactive","Unincorporated - Lake County",
"TML18-0004404","Temporary Cannabis Cultivation License","Organic Green Farms","Small Mixed-Light Tier 1","05/29/2018","09/26/2018","Inactive","Buellton - Santa Barbara County",
"TML18-0004358","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004345","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004338","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004327","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004313","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004311","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004305","Temporary Cannabis Cultivation License","ANCIENT TRUTH, INC","Small Outdoor","05/29/2018","03/26/2019","Active","Unincorporated - Humboldt County",
"TML18-0004299","Temporary Cannabis Cultivation License","LIG Remedies","Medium Outdoor","05/29/2018","03/26/2019","Active","Petaluma - Sonoma County",
"TML18-0004298","Temporary Cannabis Cultivation License","Friday Ridge Properties, LLC","Medium Mixed-Light Tier 1","05/29/2018","11/16/2018","Inactive","Blue Lake - Humboldt County",
"TAL18-0004295","Temporary Cannabis Cultivation License","Humboldt's dankest","Specialty Cottage Mixed-Light Tier 1","05/29/2018","09/26/2018","Inactive","Unincorporated - Humboldt County",
"TML18-0004285","Temporary Cannabis Cultivation License","Red Eagle Farms, LLC","Medium Outdoor","05/29/2018","09/26/2018","Inactive","Lompoc - Santa Barbara County",
"TML18-0004284","Temporary Cannabis Cultivation License","SONOCOCANN, INC","Medium Outdoor","05/29/2018","09/26/2018","Inactive","Unincorporated - Sonoma County",
"TML18-0004283","Temporary Cannabis Cultivation License","Orgynamite","Small Outdoor","05/29/2018","03/26/2019","Active","Santa Maria - Santa Barbara County",
"TAL18-0004202","Temporary Cannabis Cultivation License","Hunter Mountain LLC","Small Outdoor","05/29/2018","07/11/2018","Inactive","Santa Rosa - Sonoma County",
"TAL18-0004168","Temporary Cannabis Cultivation License","Lucky Vista Farms, LLC","Small Mixed-Light Tier 1","05/29/2018","03/26/2019","Active","Unincorporated - Trinity County",
"TAL18-0004281","Temporary Cannabis Cultivation License","SPRUCE GROVE ORGANICS LLC.","Medium Outdoor","05/29/2018","03/26/2019","Active","Unincorporated - Lake County",
"TML18-0004357","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004349","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004290","Temporary Cannabis Cultivation License","Hog Honey LLC","Small Mixed-Light Tier 1","05/29/2018","09/26/2018","Inactive","Lompoc - Santa Barbara County",
"TML18-0004314","Temporary Cannabis Cultivation License","Central Coast Ag Farming, LLC","Small Outdoor","05/29/2018","03/26/2019","Active","Buellton - Santa Barbara County",
"TML18-0004289","Temporary Cannabis Cultivation License","Hog Honey LLC","Small Mixed-Light Tier 2","05/29/2018","09/26/2018","Inactive","Lompoc - Santa Barbara County",
"TML18-0004288","Temporary Cannabis Cultivation License","Hog Honey LLC","Processor","05/29/2018","09/26/2018","Inactive","Lompoc - Santa Barbara County",
"TAL18-0004280","Temporary Cannabis Cultivation License","Greenfield Organix C2.3","Small Mixed-Light Tier 2","05/29/2018","09/26/2018","Inactive","Greenfield - Monterey County",
"TAL18-0004277","Temporary Cannabis Cultivation License","Southern Humboldt Royal Cannabis Company","Small Mixed-Light Tier 1","05/29/2018","03/26/2019","Active","Holtville - Humboldt County",
